stage,step,train_objective,validation_mse,beta,alpha5,lambda_imag,seed
adam,430,1.4985714210480424e-09,8.925368363547237e-18,0.11428570884642944,0.8,0.7142857142857143,1
adam,440,1.4985714210827489e-09,8.812431608608669e-18,0.11428570882366623,0.8,0.7142857142857143,1
adam,450,1.4985714211063955e-09,9.11223263370088e-18,0.11428570878680294,0.8,0.7142857142857143,1
adam,460,1.4985714211231244e-09,9.031402594968272e-18,0.11428570880764738,0.8,0.7142857142857143,1
adam,470,1.4985714211387831e-09,8.96894101705258e-18,0.1142857088173615,0.8,0.7142857142857143,1
adam,480,1.4985714211610388e-09,9.050407876615523e-18,0.11428570880192632,0.8,0.7142857142857143,1
adam,490,1.4985714211862744e-09,9.060366212274856e-18,0.11428570880419772,0.8,0.7142857142857143,1
adam,500,1.4985714212135588e-09,9.054175331873105e-18,0.11428570880796683,0.8,0.7142857142857143,1
adam,510,1.4985714212427428e-09,9.083921508233675e-18,0.11428570880592097,0.8,0.7142857142857143,1
adam,520,1.4985714212733534e-09,9.103435924161698e-18,0.11428570880544484,0.8,0.7142857142857143,1
adam,530,1.498571421305596e-09,9.11773666154456e-18,0.1142857088065996,0.8,0.7142857142857143,1
adam,540,1.498571421339672e-09,9.140707156056146e-18,0.11428570880636009,0.8,0.7142857142857143,1
adam,550,1.4985714213757596e-09,9.163586686639736e-18,0.11428570880623606,0.8,0.7142857142857143,1
adam,560,1.4985714214140304e-09,9.18673982591107e-18,0.11428570880646105,0.8,0.7142857142857143,1
adam,570,1.4985714214547334e-09,9.21314169070134e-18,0.11428570880647833,0.8,0.7142857142857143,1
adam,580,1.4985714214980618e-09,9.241321823041842e-18,0.11428570880650156,0.8,0.7142857142857143,1
adam,590,1.4985714215442726e-09,9.271582227506014e-18,0.11428570880657278,0.8,0.7142857142857143,1
adam,599,1.4985714215525734e-09,9.395567575065895e-18,0.11428570880438778,0.8,0.7142857142857143,1
lbfgs_final,600,9.143997199192665e-18,9.395567575065895e-18,0.11428570880438778,0.8,0.7142857142857143,1
adam,0,1.6863559445853211,1.3345838606308824,0.06807420847985896,0.8,0.7142857142857143,2
adam,10,0.2728581510364387,0.28580960123043236,0.09864450192965116,0.8,0.7142857142857143,2
adam,20,0.09814915866554548,0.08823576094644729,0.087701056100524,0.8,0.7142857142857143,2
adam,30,0.02518211860927888,0.019545782826057193,0.10846232165469055,0.8,0.7142857142857143,2
adam,40,0.008978838892375218,0.008728926602722368,0.11864856294279619,0.8,0.7142857142857143,2
adam,50,0.0027515668439706204,0.003078146349842855,0.11103026995098132,0.8,0.7142857142857143,2
adam,60,0.0015603647036490083,0.0014490782164465383,0.11153349645233909,0.8,0.7142857142857143,2
adam,70,0.0004885440663205726,0.00039629256245821376,0.11129243413976357,0.8,0.7142857142857143,2
adam,80,0.00017395491977830905,0.0001482209066676845,0.11089370649539941,0.8,0.7142857142857143,2
adam,90,6.831813299140319e-05,6.605615666882943e-05,0.11388203681867058,0.8,0.7142857142857143,2
adam,100,2.8744720618091194e-05,2.6458229941775303e-05,0.11532432904542059,0.8,0.7142857142857143,2
adam,110,7.972113568301165e-06,7.82600140360712e-06,0.11574368801701859,0.8,0.7142857142857143,2
adam,120,2.3120689811018382e-06,2.5977481190974942e-06,0.11484470936565841,0.8,0.7142857142857143,2
adam,130,1.2998494440375096e-06,1.324146985805504e-06,0.11417805873142119,0.8,0.7142857142857143,2
adam,140,3.7004071942480503e-07,3.7568286271759545e-07,0.11389850205377003,0.8,0.7142857142857143,2
adam,150,1.1283208957511247e-07,1.1665093304546944e-07,0.11414068594982243,0.8,0.7142857142857143,2
adam,160,7.000456961424101e-08,6.005930272813175e-08,0.11434920639555048,0.8,0.7142857142857143,2
adam,170,2.3818357666923372e-08,1.826152686692582e-08,0.11439833163276772,0.8,0.7142857142857143,2
adam,180,8.245585919991037e-09,5.483471706884283e-09,0.11432009390167264,0.8,0.7142857142857143,2
adam,190,3.4609477848622166e-09,1.603552821440587e-09,0.11426222908602963,0.8,0.7142857142857143,2
adam,200,2.0071667956531138e-09,4.672753333131279e-10,0.11425769048278606,0.8,0.7142857142857143,2
adam,210,1.6832852992650385e-09,1.6952678255434018e-10,0.11428253341239711,0.8,0.7142857142857143,2
adam,220,1.6012885572614204e-09,1.1107617272862724e-10,0.11429468372909841,0.8,0.7142857142857143,2
adam,230,1.5295146654632942e-09,3.0576721905119476e-11,0.11429055333816218,0.8,0.7142857142857143,2
adam,240,1.5081023457537119e-09,1.0436837919006916e-11,0.11428458531297547,0.8,0.7142857142857143,2
adam,250,1.5029294413495771e-09,3.421732972594594e-12,0.11428325542313784,0.8,0.7142857142857143,2
adam,260,1.4991222347410197e-09,3.490802381692326e-13,0.11428531953845704,0.8,0.7142857142857143,2
adam,270,1.49900332906937e-09,4.909676498513557e-13,0.11428651449426404,0.8,0.7142857142857143,2
adam,280,1.4987877735373936e-09,1.906817527960442e-13,0.11428605346518882,0.8,0.7142857142857143,2
adam,290,1.4986352972171333e-09,5.116096857849114e-14,0.1142855345903813,0.8,0.7142857142857143,2
adam,300,1.4985903903592925e-09,1.7751352735237896e-14,0.11428555045089596,0.8,0.7142857142857143,2
adam,310,1.4985770408315835e-09,6.115022595521816e-15,0.11428571855655678,0.8,0.7142857142857143,2
adam,320,1.498574732254477e-09,2.9617775363784672e-15,0.11428576977825454,0.8,0.7142857142857143,2
adam,330,1.4985720621340034e-09,4.779467794887136e-16,0.11428571893480989,0.8,0.7142857142857143,2
adam,340,1.4985717493249272e-09,3.854023420498259e-16,0.11428569073845289,0.8,0.7142857142857143,2
adam,350,1.4985715748996283e-09,1.3953581680520815e-16,0.11428570150468292,0.8,0.7142857142857143,2
adam,360,1.4985714575089098e-09,1.6317844775137364e-17,0.11428571427622733,0.8,0.7142857142857143,2
adam,370,1.4985714379613722e-09,1.839183197801988e-17,0.11428571236561597,0.8,0.7142857142857143,2
adam,380,1.498571426158432e-09,1.303473065123464e-17,0.11428570773038356,0.8,0.7142857142857143,2
adam,390,1.4985714240235017e-09,1.1409253148012657e-17,0.11428570785040043,0.8,0.7142857142857143,2
adam,400,1.4985714222416622e-09,7.205745887574879e-18,0.11428570932266836,0.8,0.7142857142857143,2
adam,410,1.4985714214304666e-09,7.807567285146303e-18,0.11428570940624012,0.8,0.7142857142857143,2
adam,420,1.498571421208043e-09,8.445607364243686e-18,0.11428570899536458,0.8,0.7142857142857143,2
adam,430,1.4985714211209816e-09,8.36897519115825e-18,0.11428570891198929,0.8,0.7142857142857143,2
adam,440,1.4985714210822904e-09,7.956511565103988e-18,0.1142857090611338,0.8,0.7142857142857143,2
adam,450,1.4985714210696182e-09,8.081873816729875e-18,0.11428570907397996,0.8,0.7142857142857143,2
adam,460,1.4985714210651582e-09,8.158539717808605e-18,0.11428570904344316,0.8,0.7142857142857143,2
adam,470,1.498571421063721e-09,8.141336126615382e-18,0.11428570902992843,0.8,0.7142857142857143,2
adam,480,1.498571421063541e-09,8.09968312018796e-18,0.11428570904357516,0.8,0.7142857142857143,2
adam,490,1.4985714210633269e-09,8.11855330208064e-18,0.11428570904402248,0.8,0.7142857142857143,2
adam,500,1.4985714210632793e-09,8.126281743548482e-18,0.11428570904233734,0.8,0.7142857142857143,2
adam,510,1.4985714210632446e-09,8.120804440219786e-18,0.1142857090414495,0.8,0.7142857142857143,2
adam,520,1.4985714210632437e-09,8.118136032048122e-18,0.11428570904227674,0.8,0.7142857142857143,2
adam,530,1.4985714210632392e-09,8.120636864096076e-18,0.11428570904218019,0.8,0.7142857142857143,2
adam,540,1.498571421063239e-09,8.121240432340217e-18,0.11428570904224904,0.8,0.7142857142857143,2
adam,550,1.4985714210632384e-09,8.120019639519746e-18,0.11428570904223166,0.8,0.7142857142857143,2
adam,560,1.4985714210632386e-09,8.120248086242558e-18,0.11428570904215893,0.8,0.7142857142857143,2
adam,570,1.4985714210632382e-09,8.120516589308873e-18,0.11428570904219054,0.8,0.7142857142857143,2
adam,580,1.4985714210632382e-09,8.12043923465411e-18,0.11428570904222739,0.8,0.7142857142857143,2
adam,590,1.4985714210632384e-09,8.120329946509004e-18,0.11428570904222307,0.8,0.7142857142857143,2
adam,599,1.4985714210632384e-09,8.1203941022392e-18,0.11428570904219529,0.8,0.7142857142857143,2
lbfgs_final,600,8.303643911967141e-18,8.1203941022392e-18,0.11428570904219529,0.8,0.7142857142857143,2
adam,0,3.0608209323964273,2.7117127842599444,0.35524902725386825,0.8,0.4166666666666667,0
adam,10,0.8663005294058201,0.8142453285990335,0.07031226497913254,0.8,0.4166666666666667,0
adam,20,0.38128170639206627,0.3715142616728901,-0.11490162908744386,0.8,0.4166666666666667,0
adam,30,0.20650578865477728,0.18707803488378238,-0.10295251322635751,0.8,0.4166666666666667,0
adam,40,0.06400155177443419,0.057425203570948574,0.02112840916760267,0.8,0.4166666666666667,0
adam,50,0.024074532955122612,0.02207528988094648,0.08649667101816354,0.8,0.4166666666666667,0
adam,60,0.003129605534810905,0.0026309739225543935,0.06382198368276995,0.8,0.4166666666666667,0
adam,70,0.0011016072735078606,0.0009637758444806423,0.05613392044838643,0.8,0.4166666666666667,0
adam,80,0.00033877354204744665,0.00041475336353961255,0.07550187945619423,0.8,0.4166666666666667,0
adam,90,0.0003137829090849808,0.00028167340383425675,0.07220971684682508,0.8,0.4166666666666667,0
adam,100,0.0001506518269564591,0.00014560756042040365,0.06401088591320453,0.8,0.4166666666666667,0
adam,110,2.6364932460157794e-05,2.472689246315432e-05,0.06655865833303733,0.8,0.4166666666666667,0
adam,120,7.414807718425599e-06,5.524169289871005e-06,0.06640867228038087,0.8,0.4166666666666667,0
adam,130,3.42156994301552e-06,3.2836949884649957e-06,0.0655648968398245,0.8,0.4166666666666667,0
adam,140,1.2581622600835977e-06,1.3067595040809234e-06,0.06687784686181247,0.8,0.4166666666666667,0
adam,150,6.382063371685322e-07,5.290776941243003e-07,0.06688724649972343,0.8,0.4166666666666667,0
adam,160,2.2092474442815782e-07,1.7910804132913115e-07,0.06670172477477082,0.8,0.4166666666666667,0
adam,170,3.4401265235796926e-08,3.164215164577216e-08,0.06679450635827383,0.8,0.4166666666666667,0
adam,180,1.529643964884343e-08,1.4061235631258724e-08,0.0666263835468025,0.8,0.4166666666666667,0
adam,190,1.4177091367107948e-08,1.0177321101730826e-08,0.0666311022221327,0.8,0.4166666666666667,0
adam,200,6.441329221655856e-09,2.8107315931736014e-09,0.06665956424229083,0.8,0.4166666666666667,0
adam,210,3.2783056772187704e-09,3.6221350744362614e-10,0.06665670174727739,0.8,0.4166666666666667,0
adam,220,3.1369600798338436e-09,2.9480927047062156e-10,0.06667690727428185,0.8,0.4166666666666667,0
adam,230,3.037671823039434e-09,1.669134183577078e-10,0.06666906619235226,0.8,0.4166666666666667,0
adam,240,2.8891572058172373e-09,3.077442267919643e-11,0.06666766487426441,0.8,0.4166666666666667,0
adam,250,2.858332699757057e-09,5.291595135945162e-12,0.06666612671101191,0.8,0.4166666666666667,0
adam,260,2.858680582334956e-09,4.639308210984547e-12,0.06666550830284669,0.8,0.4166666666666667,0
adam,270,2.8559220306273697e-09,2.124112002505532e-12,0.06666677949788888,0.8,0.4166666666666667,0
adam,280,2.8540060160881092e-09,5.947233278960014e-13,0.06666663433242422,0.8,0.4166666666666667,0
adam,290,2.8535076946373386e-09,1.6596576633838143e-13,0.066666888665592,0.8,0.4166666666666667,0
adam,300,2.8534267943467635e-09,1.0197305934344416e-13,0.06666663277029544,0.8,0.4166666666666667,0
adam,310,2.8533667135335618e-09,3.285056896151958e-14,0.06666666214428507,0.8,0.4166666666666667,0
adam,320,2.853335047068931e-09,1.9926127632416564e-15,0.066666641050893,0.8,0.4166666666666667,0
adam,330,2.8533356459306976e-09,2.3910888643111806e-15,0.06666667225001142,0.8,0.4166666666666667,0
adam,340,2.853334961176912e-09,1.2278168687732024e-15,0.06666667044636196,0.8,0.4166666666666667,0
adam,350,2.853333550271795e-09,1.1315581448123078e-16,0.06666666607578049,0.8,0.4166666666666667,0
adam,360,2.853333449683962e-09,1.318271566558615e-16,0.06666666459751368,0.8,0.4166666666666667,0
adam,370,2.8533334169989755e-09,9.65191437154924e-17,0.06666666490335926,0.8,0.4166666666666667,0
adam,380,2.8533333497452233e-09,1.8963973129519995e-17,0.06666666704679358,0.8,0.4166666666666667,0
adam,390,2.8533333391404097e-09,3.6871829645204305e-18,0.06666666634792005,0.8,0.4166666666666667,0
adam,400,2.8533333378021746e-09,4.123513230144398e-18,0.06666666614012413,0.8,0.4166666666666667,0
adam,410,2.8533333354321623e-09,6.0521955590757825e-18,0.06666666567551238,0.8,0.4166666666666667,0
adam,420,2.8533333354289558e-09,7.926770034583899e-18,0.06666666600129029,0.8,0.4166666666666667,0
adam,430,2.853333336345891e-09,8.333320144909365e-18,0.06666666607715777,0.8,0.4166666666666667,0
adam,440,2.8533333372479797e-09,8.578432166580782e-18,0.06666666612077549,0.8,0.4166666666666667,0
adam,450,2.853333338563653e-09,9.534478739402224e-18,0.06666666602655345,0.8,0.4166666666666667,0
adam,460,2.8533333403886675e-09,1.1160956520819201e-17,0.06666666601787992,0.8,0.4166666666666667,0
adam,470,2.8533333429043384e-09,1.3495046579423255e-17,0.06666666602674186,0.8,0.4166666666666667,0
adam,480,2.8533333465004006e-09,1.6839198758643135e-17,0.06666666604270424,0.8,0.4166666666666667,0
